,site,sitepair,Treatment,Organism,metric,value,pollrich,plantrich
1,whor,who,Prairie Strip,Wasp,NODF,26.24521073,7,26
2,whor,who,Prairie Strip,Wasp,links per species,1.2,7,26
3,whor,who,Prairie Strip,Wasp,CC Overall,0.166666667,7,26
4,whor,who,Prairie Strip,Wasp,CC Pollinator,0.344017094,7,26
5,whor,who,Prairie Strip,Wasp,CC Plants,0.296703297,7,26
6,whor,who,Prairie Strip,Wasp,ISA,-0.048571429,7,26
7,whoc,who,Field Margin,Wasp,NODF,57.53424658,10,19
8,whoc,who,Field Margin,Wasp,links per species,1.111111111,10,19
9,whoc,who,Field Margin,Wasp,CC Overall,0.25,10,19
10,whoc,who,Field Margin,Wasp,CC Pollinator,0.337962963,10,19
11,whoc,who,Field Margin,Wasp,CC Plants,0.67037037,10,19
12,whoc,who,Field Margin,Wasp,ISA,0.166666667,10,19
13,stor,sto,Prairie Strip,Wasp,NODF,30.44025157,8,22
14,stor,sto,Prairie Strip,Wasp,links per species,1.095238095,8,22
15,stor,sto,Prairie Strip,Wasp,CC Overall,0.153846154,8,22
16,stor,sto,Prairie Strip,Wasp,CC Pollinator,0.35483871,8,22
17,stor,sto,Prairie Strip,Wasp,CC Plants,0.330645161,8,22
18,stor,sto,Prairie Strip,Wasp,ISA,-0.049404762,8,22
19,stoc,sto,Field Margin,Wasp,NODF,44.27390791,12,20
20,stoc,sto,Field Margin,Wasp,links per species,1.260869565,12,20
21,stoc,sto,Field Margin,Wasp,CC Overall,0.181818182,12,20
22,stoc,sto,Field Margin,Wasp,CC Pollinator,0.465564738,12,20
23,stoc,sto,Field Margin,Wasp,CC Plants,0.430555556,12,20
24,stoc,sto,Field Margin,Wasp,ISA,0.011654135,12,20
25,smir,smi,Prairie Strip,Wasp,NODF,0,2,19
26,smir,smi,Prairie Strip,Wasp,links per species,0.777777778,2,19
27,smir,smi,Prairie Strip,Wasp,CC Overall,0.5,2,19
28,smir,smi,Prairie Strip,Wasp,CC Pollinator,0.607142857,2,19
29,smir,smi,Prairie Strip,Wasp,CC Plants,0.5,2,19
30,smir,smi,Prairie Strip,Wasp,ISA,-0.4,2,19
31,smer,sme,Prairie Strip,Wasp,NODF,54.86590038,7,25
32,smer,sme,Prairie Strip,Wasp,links per species,1.631578947,7,25
33,smer,sme,Prairie Strip,Wasp,CC Overall,0.333333333,7,25
34,smer,sme,Prairie Strip,Wasp,CC Pollinator,0.543478261,7,25
35,smer,sme,Prairie Strip,Wasp,CC Plants,0.462732919,7,25
36,smer,sme,Prairie Strip,Wasp,ISA,-0.087555022,7,25
37,gutr,gut,Prairie Strip,Wasp,NODF,25.23560209,11,28
38,gutr,gut,Prairie Strip,Wasp,links per species,1.321428571,11,28
39,gutr,gut,Prairie Strip,Wasp,CC Overall,0.117647059,11,28
40,gutr,gut,Prairie Strip,Wasp,CC Pollinator,0.317226891,11,28
41,gutr,gut,Prairie Strip,Wasp,CC Plants,0.25,11,28
42,gutr,gut,Prairie Strip,Wasp,ISA,-0.059242424,11,28
43,gutc,gut,Field Margin,Wasp,NODF,50,5,15
44,gutc,gut,Field Margin,Wasp,links per species,1,5,15
45,gutc,gut,Field Margin,Wasp,CC Overall,0.125,5,15
46,gutc,gut,Field Margin,Wasp,CC Pollinator,0.570652174,5,15
47,gutc,gut,Field Margin,Wasp,CC Plants,0.47826087,5,15
48,gutc,gut,Field Margin,Wasp,ISA,0.053409091,5,15
49,whor,who,Prairie Strip,Combined,NODF,34.56619913,20,38
50,whor,who,Prairie Strip,Combined,links per species,1.92,20,38
51,whor,who,Prairie Strip,Combined,CC Overall,0.133333333,20,38
52,whor,who,Prairie Strip,Combined,CC Pollinator,0.239802632,20,38
53,whor,who,Prairie Strip,Combined,CC Plants,0.418092105,20,38
54,whor,who,Prairie Strip,Combined,ISA,-0.026180399,20,38
55,whoc,who,Field Margin,Combined,NODF,25.76998051,19,30
56,whoc,who,Field Margin,Combined,links per species,1.289473684,19,30
57,whoc,who,Field Margin,Combined,CC Overall,0.105263158,19,30
58,whoc,who,Field Margin,Combined,CC Pollinator,0.198446937,19,30
59,whoc,who,Field Margin,Combined,CC Plants,0.301121657,19,30
60,whoc,who,Field Margin,Combined,ISA,0.046396396,19,30
61,stor,sto,Prairie Strip,Combined,NODF,40.99188791,25,36
62,stor,sto,Prairie Strip,Combined,links per species,2.226415094,25,36
63,stor,sto,Prairie Strip,Combined,CC Overall,0.142857143,25,36
64,stor,sto,Prairie Strip,Combined,CC Pollinator,0.301355579,25,36
65,stor,sto,Prairie Strip,Combined,CC Plants,0.370072993,25,36
66,stor,sto,Prairie Strip,Combined,ISA,-0.019821952,25,36
67,stoc,sto,Field Margin,Combined,NODF,30.33403429,28,39
68,stoc,sto,Field Margin,Combined,links per species,1.847457627,28,39
69,stoc,sto,Field Margin,Combined,CC Overall,0.096774194,28,39
70,stoc,sto,Field Margin,Combined,CC Pollinator,0.227047146,28,39
71,stoc,sto,Field Margin,Combined,CC Plants,0.339285714,28,39
72,stoc,sto,Field Margin,Combined,ISA,0.033269252,28,39
73,smir,smi,Prairie Strip,Combined,NODF,42.92451728,15,33
74,smir,smi,Prairie Strip,Combined,links per species,2,15,33
75,smir,smi,Prairie Strip,Combined,CC Overall,0.19047619,15,33
76,smir,smi,Prairie Strip,Combined,CC Pollinator,0.345238095,15,33
77,smir,smi,Prairie Strip,Combined,CC Plants,0.409791667,15,33
78,smir,smi,Prairie Strip,Combined,ISA,-0.060105176,15,33
79,smer,sme,Prairie Strip,Combined,NODF,41.5777316,25,39
80,smer,sme,Prairie Strip,Combined,links per species,2.647058824,25,39
81,smer,sme,Prairie Strip,Combined,CC Overall,0.192307692,25,39
82,smer,sme,Prairie Strip,Combined,CC Pollinator,0.346386242,25,39
83,smer,sme,Prairie Strip,Combined,CC Plants,0.362900302,25,39
84,smer,sme,Prairie Strip,Combined,ISA,0.00445473,25,39
85,gutr,gut,Prairie Strip,Combined,NODF,28.98176947,31,42
